date,average_temperature,min_temperature,max_temperature,max_light,average_light,average_pH,average_DO,DO_saturation,min_TGP,max_TGP,average_TGP
5/09/2025,14.95,14.03,15.57,219.92,214.6,8.4,8.24,92.55,99.7,101.2,100.34
6/09/2025,15.35,14.54,16.47,198.48,189.88,8.4,8.24,93.81,99.9,100.8,100.42
7/09/2025,15.5,14.63,16.47,152.52,148.86,8.4,8.15,92.84,98.9,100.6,99.9
8/09/2025,15.54,14.54,16.51,146,141.46,8.38,8.02,91.39,99.2,100.5,99.82
9/09/2025,15.72,14.5,16.47,204.96,201.32,8.37,8.13,92.58,98.2,101.7,99.72
10/09/2025,15.93,14.71,16.69,210.72,193.96,8.36,8.15,92.87,97.7,100.3,99.36
11/09/2025,16.18,15.66,16.51,203.36,177.12,8.37,8.26,95.36,98,101,99.31
12/09/2025,16.19,15.53,16.6,225.6,220.32,8.37,8.26,95.36,98.4,100.6,99.19
13/09/2025,16.35,15.74,16.69,186.08,159.46,8.37,8.26,95.36,99.1,100.4,99.86
14/09/2025,16.56,15.83,16.99,166.48,148.84,8.42,7.87,90.92,100,102.8,101.58
15/09/2025,16.77,15.87,17.33,174.64,144.28,8.39,7.99,92.21,99,101.1,100.26
16/09/2025,16.95,16.77,17.2,199.28,193.56,8.39,8,92.34,98,100.5,99.35
17/09/2025,16.69,16.21,16.94,210.08,205.48,8.39,7.96,91.9,98.6,101.2,99.83
18/09/2025,16.67,15.96,17.03,254.4,254,8.38,7.91,91.38,98.4,101.1,100.07
19/09/2025,16.92,16.04,17.37,241.12,235.84,8.38,7.91,91.38,98,100.6,99.52
20/09/2025,16.95,16.3,17.29,194.4,190.72,8.38,7.91,91.38,98.3,99.6,99.04
21/09/2025,16.78,16.17,17.16,193.6,184.6,8.38,8.01,92.48,97.7,99.9,98.97
22/09/2025,16.87,16.17,17.11,113.12,108.62,8.36,8.02,92.65,97.3,99.7,98.68
23/09/2025,16.85,16.21,17.24,242.8,218.2,8.38,7.99,92.22,97.6,99.6,98.91
24/09/2025,17.04,16.34,17.41,232.16,211.64,8.37,7.96,93.08,98.9,102.5,100.07
25/09/2025,17.12,16.34,17.46,239.52,237.48,8.37,7.84,91.68,99.5,101.1,100.46
26/09/2025,17.21,16.43,17.63,254.4,236.32,8.37,7.84,91.68,99,101.4,100.45
27/09/2025,17.31,16.51,17.67,234.64,231.36,8.37,7.84,91.68,98.6,101.1,100.2
28/09/2025,17.37,16.64,17.67,260.16,249.44,8.37,7.75,90.64,99.5,103.1,100.99
29/09/2025,17.72,17.33,18.14,250.16,242.8,8.37,7.79,91.08,98.8,101.6,100.6
30/09/2025,17.72,17.54,17.89,205.84,200.52,8.39,7.86,91.97,98.7,101.4,100.29
1/10/2025,17.52,16.86,17.8,196.8,190.68,8.42,7.84,91.67,97.7,100.3,99.26
2/10/2025,17.48,16.73,17.84,194.4,188.68,8.39,7.92,92.65,97.7,103.2,98.75
3/10/2025,17.44,16.73,17.72,219.92,187.04,8.39,7.92,92.65,98.5,101.8,99.82
4/10/2025,17.83,17.16,18.27,202.56,188.6,8.39,7.92,92.65,99.7,101.6,100.55
5/10/2025,18.02,17.67,18.49,246.88,227.64,8.38,7.8,92.42,96.9,100.4,99.29
6/10/2025,18,17.89,18.14,214.16,195.64,8.39,7.95,93.01,97.9,100.6,99.42
7/10/2025,17.84,17.54,18.06,219.92,216.64,8.39,7.75,90.64,99.1,100.9,100.17
8/10/2025,17.74,17.07,18.06,246.08,230.12,8.38,7.77,90.83,98.9,101.1,100.15
9/10/2025,17.85,17.03,18.23,213.36,200.6,8.38,7.79,91.1,98.7,100.4,99.82
10/10/2025,17.95,17.41,18.23,215.04,212.92,8.38,7.79,91.1,98.7,100.4,99.82
11/10/2025,18.19,17.89,18.57,204.4,193.68,8.38,7.79,92.28,98.7,100.4,99.82
12/10/2025,18.23,18.02,18.53,215.04,210.92,8.39,7.79,92.28,98.7,100.4,99.82
13/10/2025,18.19,17.37,18.53,232.16,217.76,8.38,7.79,92.3,97,99.4,98.38
14/10/2025,18.27,17.46,18.57,216.64,207.16,8.38,7.76,91.91,98.9,102,100.2
15/10/2025,18.58,18.14,19.05,224,222.76,8.39,7.69,91.16,99.9,102.6,100.83
16/10/2025,18.77,18.53,19.17,231.36,218.16,8.07,7.59,89.97,98.4,101.6,100.41
17/10/2025,18.82,18.49,19.22,203.6,187.96,8.07,7.59,89.97,99.7,104,101.23
18/10/2025,19.07,18.83,19.43,186.24,177.6,,,,99.4,105,102.3
19/10/2025,19.23,19,19.56,190.32,183.72,,,,98.1,103.4,100.96
20/10/2025,19.22,19,19.43,176.32,171.04,8.06,7.35,88.1,98.6,101.1,99.79
21/10/2025,19.05,17.8,19.56,211.6,184.92,8.1,7.48,89.64,98.3,100.2,99.52
22/10/2025,19.34,18.96,19.6,150.88,132,8.06,7.32,87.73,96.7,99.4,98.53
23/10/2025,19.25,18.66,19.6,181.28,178.84,8.08,7.59,91.03,96.3,102.3,100.12
24/10/2025,19.31,18.57,19.65,199.28,197.24,8.08,7.59,91.03,99.5,102.2,100.59
25/10/2025,19.44,19.17,19.56,134.44,114.34,8.08,7.59,91.03,99.8,101.3,100.67
26/10/2025,19.43,19.35,19.52,177.12,136.08,8.1,7.66,91.88,97.4,101.3,99.73
27/10/2025,19.46,19.3,19.65,203.36,179.58,8.1,7.54,90.41,97.6,100.1,98.86
28/10/2025,19.25,17.97,19.6,178.88,173.96,8.1,7.77,93.14,97.2,99.9,98.57
29/10/2025,19.34,18.32,19.6,103.32,100.06,8.09,7.62,91.31,95.2,100.2,97
30/10/2025,19.23,18.7,19.52,163.24,161.98,8.1,7.85,94.11,92.4,96.3,94.68
31/10/2025,19.06,18.1,19.47,165.68,152.98,8.1,7.85,94.11,89.2,93.4,91.13
1/11/2025,18.88,18.14,19,122.2,118.94,8.1,7.85,92.99,88.2,92.6,90.52
2/11/2025,18.9,18.53,19.13,96.8,95.72,8.09,7.7,91.26,83,88.5,85.66
3/11/2025,18.93,18.79,19,111.48,101.42,8.1,7.7,91.25,83.2,84.8,83.89
4/11/2025,18.88,18.66,19.05,95.96,94.28,8.1,7.71,91.35,84.5,97.7,87.72
5/11/2025,18.77,18.49,19,111.48,95.1,8.1,7.63,90.39,97.8,100.5,99.74
6/11/2025,18.83,18.44,19.13,139.48,139.06,8.11,7.61,90.17,98.6,101.3,100.24
7/11/2025,18.89,17.84,19.05,136.08,116.84,8.11,7.61,90.17,96.5,99.8,98.49
8/11/2025,18.9,17.76,19.09,159.08,153.76,8.11,7.61,90.17,95.6,98.6,97.55
9/11/2025,18.71,18.14,18.96,144.36,130.42,8.11,7.65,90.6,95.4,99,97.99
10/11/2025,18.73,18.53,19,166.48,159.5,8.12,7.73,91.59,95.8,100.2,98.15
11/11/2025,18.76,18.53,19,160.8,157.9,8.12,7.66,90.77,95.9,99.8,98.37
12/11/2025,18.65,17.97,19,157.52,137.42,8.11,7.35,87.11,96.8,101.3,99.48
13/11/2025,18.78,18.1,19.13,156.72,150.96,8.09,,,96.5,99.8,98.87
14/11/2025,18.94,18.74,19.09,144.36,139.4,,,,97,101.5,100.05
15/11/2025,18.84,17.67,19.05,233.2,182.2,,,,97.5,102.4,100.26
16/11/2025,18.97,18.79,19.09,143.56,136.56,,,,98.9,100.5,99.92
17/11/2025,18.89,18.74,19.09,127.92,120.92,,,,98.9,100.5,99.92
