diet,inclusion,water_temp,treatment,id,measurement,result
SP10,10,20,SP10_20,IMG_7255_1,S,116.063
SP10,10,20,SP10_20,IMG_7255_1,B,100.726
SP10,10,20,SP10_20,IMG_7255_1,L,37.968
SP10,10,20,SP10_20,IMG_7255_1,a,-0.029
SP10,10,20,SP10_20,IMG_7255_1,b,19.462
SP10,10,20,SP10_20,IMG_7255_2,H,36.928
SP10,10,20,SP10_20,IMG_7255_2,S,123.731
SP10,10,20,SP10_20,IMG_7255_2,B,90.522
SP10,10,20,SP10_20,IMG_7255_2,L,34.988
SP10,10,20,SP10_20,IMG_7255_2,a,-2.424
SP10,10,20,SP10_20,IMG_7255_2,b,18.864
SP10,10,20,SP10_20,IMG_7258_1,H,34.687
SP10,10,20,SP10_20,IMG_7258_1,S,126.582
SP10,10,20,SP10_20,IMG_7258_1,B,81.086
SP10,10,20,SP10_20,IMG_7258_1,L,31.211
SP10,10,20,SP10_20,IMG_7258_1,a,-2.002
SP10,10,20,SP10_20,IMG_7258_1,b,18.596
SP10,10,20,SP10_20,IMG_7258_2,H,30.177
SP10,10,20,SP10_20,IMG_7258_2,S,122.366
SP10,10,20,SP10_20,IMG_7258_2,B,111.027
SP10,10,20,SP10_20,IMG_7258_2,L,41.234
SP10,10,20,SP10_20,IMG_7258_2,a,0.937
SP10,10,20,SP10_20,IMG_7258_2,b,21.595
SP10,10,18,SP10_18,IMG_7149,H,28.939
SP10,10,18,SP10_18,IMG_7149,S,137.295
SP10,10,18,SP10_18,IMG_7149,B,90.152
SP10,10,18,SP10_18,IMG_7149,L,32.712
SP10,10,18,SP10_18,IMG_7149,a,1.408
SP10,10,18,SP10_18,IMG_7149,b,19.995
SP10,10,18,SP10_18,IMG_7150,H,29.867
SP10,10,18,SP10_18,IMG_7150,S,113.293
SP10,10,18,SP10_18,IMG_7150,B,118.584
SP10,10,18,SP10_18,IMG_7150,L,44.225
SP10,10,18,SP10_18,IMG_7150,a,0.946
SP10,10,18,SP10_18,IMG_7150,b,21.583
SP10,10,18,SP10_18,IMG_7151,H,30.078
SP10,10,18,SP10_18,IMG_7151,S,149.163
SP10,10,18,SP10_18,IMG_7151,B,89.926
SP10,10,18,SP10_18,IMG_7151,L,32.603
SP10,10,18,SP10_18,IMG_7151,a,1.012
SP10,10,18,SP10_18,IMG_7151,b,22.663
SP10,10,18,SP10_18,IMG_7152,H,26.397
SP10,10,18,SP10_18,IMG_7152,S,140.673
SP10,10,18,SP10_18,IMG_7152,B,97.886
SP10,10,18,SP10_18,IMG_7152,L,34.459
SP10,10,18,SP10_18,IMG_7152,a,3.821
SP10,10,18,SP10_18,IMG_7152,b,21.57
SP10,10,18,SP10_18,IMG_7153,H,27.232
SP10,10,18,SP10_18,IMG_7153,S,117.123
SP10,10,18,SP10_18,IMG_7153,B,101.492
SP10,10,18,SP10_18,IMG_7153,L,37.065
SP10,10,18,SP10_18,IMG_7153,a,2.449
SP10,10,18,SP10_18,IMG_7153,b,18.018
SP10,10,18,SP10_18,IMG_7154,H,31.623
SP10,10,18,SP10_18,IMG_7154,S,122.747
SP10,10,18,SP10_18,IMG_7154,B,91.866
SP10,10,18,SP10_18,IMG_7154,L,34.417
SP10,10,18,SP10_18,IMG_7154,a,0.021
SP10,10,18,SP10_18,IMG_7154,b,17.185
SP10,10,18,SP10_18,IMG_7155,H,33.118
SP10,10,18,SP10_18,IMG_7155,S,125.986
SP10,10,18,SP10_18,IMG_7155,B,92.941
SP10,10,18,SP10_18,IMG_7155,L,35.433
SP10,10,18,SP10_18,IMG_7155,a,-1.335
SP10,10,18,SP10_18,IMG_7155,b,20.67
SP10,10,18,SP10_18,IMG_7156,H,26.074
SP10,10,18,SP10_18,IMG_7156,S,125.849
SP10,10,18,SP10_18,IMG_7156,B,103.198
SP10,10,18,SP10_18,IMG_7156,L,36.891
SP10,10,18,SP10_18,IMG_7156,a,3.48
SP10,10,18,SP10_18,IMG_7156,b,19.922
SP10,10,18,SP10_18,IMG_7157,H,28.627
SP10,10,18,SP10_18,IMG_7157,S,131.477
SP10,10,18,SP10_18,IMG_7157,B,87.674
SP10,10,18,SP10_18,IMG_7157,L,31.884
SP10,10,18,SP10_18,IMG_7157,a,1.62
SP10,10,18,SP10_18,IMG_7157,b,18.622
SP10,10,18,SP10_18,IMG_7158,H,30.018
SP10,10,18,SP10_18,IMG_7158,S,144.668
SP10,10,18,SP10_18,IMG_7158,B,91.507
SP10,10,18,SP10_18,IMG_7158,L,33.35
SP10,10,18,SP10_18,IMG_7158,a,0.951
SP10,10,18,SP10_18,IMG_7158,b,22.378
SP2.5,2.5,25,SP2.5_25,IMG_7219_1,H,30.073
SP2.5,2.5,25,SP2.5_25,IMG_7219_1,S,121.754
SP2.5,2.5,25,SP2.5_25,IMG_7219_1,B,108.957
SP2.5,2.5,25,SP2.5_25,IMG_7219_1,L,40.44
SP2.5,2.5,25,SP2.5_25,IMG_7219_1,a,0.837
SP2.5,2.5,25,SP2.5_25,IMG_7219_1,b,21.62
SP2.5,2.5,25,SP2.5_25,IMG_7219_2,H,27.116
SP2.5,2.5,25,SP2.5_25,IMG_7219_2,S,105.161
SP2.5,2.5,25,SP2.5_25,IMG_7219_2,B,119.621
SP2.5,2.5,25,SP2.5_25,IMG_7219_2,L,44.03
SP2.5,2.5,25,SP2.5_25,IMG_7219_2,a,2.677
SP2.5,2.5,25,SP2.5_25,IMG_7219_2,b,18.658
SP2.5,2.5,25,SP2.5_25,IMG_7220_1,H,25.579
SP2.5,2.5,25,SP2.5_25,IMG_7220_1,S,131.753
SP2.5,2.5,25,SP2.5_25,IMG_7220_1,B,95.887
SP2.5,2.5,25,SP2.5_25,IMG_7220_1,L,33.811
SP2.5,2.5,25,SP2.5_25,IMG_7220_1,a,4.12
SP2.5,2.5,25,SP2.5_25,IMG_7220_1,b,18.08
SP2.5,2.5,25,SP2.5_25,IMG_7220_2,H,22.319
SP2.5,2.5,25,SP2.5_25,IMG_7220_2,S,109.052
SP2.5,2.5,25,SP2.5_25,IMG_7220_2,B,148.646
SP2.5,2.5,25,SP2.5_25,IMG_7220_2,L,52.021
SP2.5,2.5,25,SP2.5_25,IMG_7220_2,a,7.314
SP2.5,2.5,25,SP2.5_25,IMG_7220_2,b,22.039
SP2.5,2.5,25,SP2.5_25,IMG_7223_1,H,30.612
SP2.5,2.5,25,SP2.5_25,IMG_7223_1,S,111.042
SP2.5,2.5,25,SP2.5_25,IMG_7223_1,B,118.815
SP2.5,2.5,25,SP2.5_25,IMG_7223_1,L,44.654
SP2.5,2.5,25,SP2.5_25,IMG_7223_1,a,0.314
SP2.5,2.5,25,SP2.5_25,IMG_7223_1,b,21.762
SP2.5,2.5,25,SP2.5_25,IMG_7223_2,H,33.165
SP2.5,2.5,25,SP2.5_25,IMG_7223_2,S,125.785
SP2.5,2.5,25,SP2.5_25,IMG_7223_2,B,110.46
SP2.5,2.5,25,SP2.5_25,IMG_7223_2,L,41.904
SP2.5,2.5,25,SP2.5_25,IMG_7223_2,a,-1.302
SP2.5,2.5,25,SP2.5_25,IMG_7223_2,b,24.423
SP2.5,2.5,20,SP2.5_20,IMG_7263_1,H,32.58
SP2.5,2.5,20,SP2.5_20,IMG_7263_1,S,124.947
SP2.5,2.5,20,SP2.5_20,IMG_7263_1,B,108.71
SP2.5,2.5,20,SP2.5_20,IMG_7263_1,L,40.545
SP2.5,2.5,20,SP2.5_20,IMG_7263_1,a,0.396
SP2.5,2.5,20,SP2.5_20,IMG_7263_1,b,21.872
SP2.5,2.5,20,SP2.5_20,IMG_7263_2,H,35.497
SP2.5,2.5,20,SP2.5_20,IMG_7263_2,S,109.576
SP2.5,2.5,20,SP2.5_20,IMG_7263_2,B,98.072
SP2.5,2.5,20,SP2.5_20,IMG_7263_2,L,38.223
SP2.5,2.5,20,SP2.5_20,IMG_7263_2,a,-2.327
SP2.5,2.5,20,SP2.5_20,IMG_7263_2,b,18.839
SP2.5,2.5,20,SP2.5_20,IMG_7266_1,H,34.602
SP2.5,2.5,20,SP2.5_20,IMG_7266_1,S,116.273
SP2.5,2.5,20,SP2.5_20,IMG_7266_1,B,91.429
SP2.5,2.5,20,SP2.5_20,IMG_7266_1,L,35.446
SP2.5,2.5,20,SP2.5_20,IMG_7266_1,a,-2.105
SP2.5,2.5,20,SP2.5_20,IMG_7266_1,b,19.286
SP2.5,2.5,20,SP2.5_20,IMG_7266_2,H,25.408
SP2.5,2.5,20,SP2.5_20,IMG_7266_2,S,127.512
SP2.5,2.5,20,SP2.5_20,IMG_7266_2,B,91.341
SP2.5,2.5,20,SP2.5_20,IMG_7266_2,L,32.41
SP2.5,2.5,20,SP2.5_20,IMG_7266_2,a,3.599
SP2.5,2.5,20,SP2.5_20,IMG_7266_2,b,17.328
SP2.5,2.5,20,SP2.5_20,IMG_7269_1,H,37.813
SP2.5,2.5,20,SP2.5_20,IMG_7269_1,S,100.476
SP2.5,2.5,20,SP2.5_20,IMG_7269_1,B,102.165
SP2.5,2.5,20,SP2.5_20,IMG_7269_1,L,40.594
SP2.5,2.5,20,SP2.5_20,IMG_7269_1,a,-3.477
SP2.5,2.5,20,SP2.5_20,IMG_7269_1,b,18.729
SP2.5,2.5,20,SP2.5_20,IMG_7269_2,H,27.886
SP2.5,2.5,20,SP2.5_20,IMG_7269_2,S,117.018
SP2.5,2.5,20,SP2.5_20,IMG_7269_2,B,127.983
SP2.5,2.5,20,SP2.5_20,IMG_7269_2,L,46.6
SP2.5,2.5,20,SP2.5_20,IMG_7269_2,a,3.083
SP2.5,2.5,20,SP2.5_20,IMG_7269_2,b,21.422
SP2.5,2.5,18,SP2.5_18,IMG_7161,H,30.047
SP2.5,2.5,18,SP2.5_18,IMG_7161,S,118.698
SP2.5,2.5,18,SP2.5_18,IMG_7161,B,97.839
SP2.5,2.5,18,SP2.5_18,IMG_7161,L,36.585
SP2.5,2.5,18,SP2.5_18,IMG_7161,a,0.488
SP2.5,2.5,18,SP2.5_18,IMG_7161,b,19.082
SP2.5,2.5,18,SP2.5_18,IMG_7162,H,27.655
SP2.5,2.5,18,SP2.5_18,IMG_7162,S,124.028
SP2.5,2.5,18,SP2.5_18,IMG_7162,B,103.624
SP2.5,2.5,18,SP2.5_18,IMG_7162,L,37.479
SP2.5,2.5,18,SP2.5_18,IMG_7162,a,2.972
SP2.5,2.5,18,SP2.5_18,IMG_7162,b,18.741
SP2.5,2.5,18,SP2.5_18,IMG_7163,H,28.027
SP2.5,2.5,18,SP2.5_18,IMG_7163,S,122.278
SP2.5,2.5,18,SP2.5_18,IMG_7163,B,84.516
SP2.5,2.5,18,SP2.5_18,IMG_7163,L,30.88
SP2.5,2.5,18,SP2.5_18,IMG_7163,a,1.66
SP2.5,2.5,18,SP2.5_18,IMG_7163,b,16.13
SP2.5,2.5,18,SP2.5_18,IMG_7164,H,29.983
SP2.5,2.5,18,SP2.5_18,IMG_7164,S,128.861
SP2.5,2.5,18,SP2.5_18,IMG_7164,B,96.36
SP2.5,2.5,18,SP2.5_18,IMG_7164,L,35.554
SP2.5,2.5,18,SP2.5_18,IMG_7164,a,0.836
SP2.5,2.5,18,SP2.5_18,IMG_7164,b,20.493
SP2.5,2.5,18,SP2.5_18,IMG_7166,H,28.319
SP2.5,2.5,18,SP2.5_18,IMG_7166,S,119.659
SP2.5,2.5,18,SP2.5_18,IMG_7166,B,102.178
SP2.5,2.5,18,SP2.5_18,IMG_7166,L,37.515
SP2.5,2.5,18,SP2.5_18,IMG_7166,a,1.91
SP2.5,2.5,18,SP2.5_18,IMG_7166,b,18.995
SP2.5,2.5,18,SP2.5_18,IMG_7167,H,28.674
SP2.5,2.5,18,SP2.5_18,IMG_7167,S,109.378
SP2.5,2.5,18,SP2.5_18,IMG_7167,B,98.075
SP2.5,2.5,18,SP2.5_18,IMG_7167,L,36.612
SP2.5,2.5,18,SP2.5_18,IMG_7167,a,1.134
SP2.5,2.5,18,SP2.5_18,IMG_7167,b,17.208
SP2.5,2.5,18,SP2.5_18,IMG_7168,H,27.95
SP2.5,2.5,18,SP2.5_18,IMG_7168,S,119.774
SP2.5,2.5,18,SP2.5_18,IMG_7168,B,105.455
SP2.5,2.5,18,SP2.5_18,IMG_7168,L,38.615
SP2.5,2.5,18,SP2.5_18,IMG_7168,a,2.132
SP2.5,2.5,18,SP2.5_18,IMG_7168,b,19.677
SP5,5,25,SP5_25,IMG_7212_1,H,27.916
SP5,5,25,SP5_25,IMG_7212_1,S,116.284
SP5,5,25,SP5_25,IMG_7212_1,B,111.159
SP5,5,25,SP5_25,IMG_7212_1,L,40.842
SP5,5,25,SP5_25,IMG_7212_1,a,2.067
SP5,5,25,SP5_25,IMG_7212_1,b,20.329
SP5,5,25,SP5_25,IMG_7212_2,H,23.446
SP5,5,25,SP5_25,IMG_7212_2,S,112.986
SP5,5,25,SP5_25,IMG_7212_2,B,118.925
SP5,5,25,SP5_25,IMG_7212_2,L,42.232
SP5,5,25,SP5_25,IMG_7212_2,a,5.417
SP5,5,25,SP5_25,IMG_7212_2,b,19.083
SP5,5,25,SP5_25,IMG_7214_1,H,27.268
SP5,5,25,SP5_25,IMG_7214_1,S,125.311
SP5,5,25,SP5_25,IMG_7214_1,B,118.844
SP5,5,25,SP5_25,IMG_7214_1,L,42.936
SP5,5,25,SP5_25,IMG_7214_1,a,3.162
SP5,5,25,SP5_25,IMG_7214_1,b,22.56
SP5,5,25,SP5_25,IMG_7214_2,H,24.002
SP5,5,25,SP5_25,IMG_7214_2,S,98.352
SP5,5,25,SP5_25,IMG_7214_2,B,147.11
SP5,5,25,SP5_25,IMG_7214_2,L,53.054
SP5,5,25,SP5_25,IMG_7214_2,a,4.996
SP5,5,25,SP5_25,IMG_7214_2,b,20.347
SP5,5,25,SP5_25,IMG_7216,H,27.666
SP5,5,25,SP5_25,IMG_7216,S,119.198
SP5,5,25,SP5_25,IMG_7216,B,115.781
SP5,5,25,SP5_25,IMG_7216,L,42.142
SP5,5,25,SP5_25,IMG_7216,a,2.71
SP5,5,25,SP5_25,IMG_7216,b,20.821
SP5,5,25,SP5_25,IMG_7217,H,23.311
SP5,5,25,SP5_25,IMG_7217,S,115.871
SP5,5,25,SP5_25,IMG_7217,B,127.36
SP5,5,25,SP5_25,IMG_7217,L,44.66
SP5,5,25,SP5_25,IMG_7217,a,6.557
SP5,5,25,SP5_25,IMG_7217,b,20.446
SP5,5,20,SP5_20,IMG_7271_1,H,32.292
SP5,5,20,SP5_20,IMG_7271_1,S,114.263
SP5,5,20,SP5_20,IMG_7271_1,B,115.19
SP5,5,20,SP5_20,IMG_7271_1,L,43.297
SP5,5,20,SP5_20,IMG_7271_1,a,0.468
SP5,5,20,SP5_20,IMG_7271_1,b,20.274
SP5,5,20,SP5_20,IMG_7271_2,H,32.273
SP5,5,20,SP5_20,IMG_7271_2,S,126.851
SP5,5,20,SP5_20,IMG_7271_2,B,99.524
SP5,5,20,SP5_20,IMG_7271_2,L,37.596
SP5,5,20,SP5_20,IMG_7271_2,a,-0.696
SP5,5,20,SP5_20,IMG_7271_2,b,21.481
SP5,5,20,SP5_20,IMG_7275_1,H,35.766
SP5,5,20,SP5_20,IMG_7275_1,S,114.898
SP5,5,20,SP5_20,IMG_7275_1,B,100.137
SP5,5,20,SP5_20,IMG_7275_1,L,39.142
SP5,5,20,SP5_20,IMG_7275_1,a,-2.772
SP5,5,20,SP5_20,IMG_7275_1,b,21.039
SP5,5,20,SP5_20,IMG_7275_2,H,30.981
SP5,5,20,SP5_20,IMG_7275_2,S,127.63
SP5,5,20,SP5_20,IMG_7275_2,B,106.793
SP5,5,20,SP5_20,IMG_7275_2,L,39.816
SP5,5,20,SP5_20,IMG_7275_2,a,0.439
SP5,5,20,SP5_20,IMG_7275_2,b,21.73
SP5,5,20,SP5_20,IMG_7279_1,H,32.466
SP5,5,20,SP5_20,IMG_7279_1,S,126.535
SP5,5,20,SP5_20,IMG_7279_1,B,104.307
SP5,5,20,SP5_20,IMG_7279_1,L,39.416
SP5,5,20,SP5_20,IMG_7279_1,a,-0.722
SP5,5,20,SP5_20,IMG_7279_1,b,21.483
SP5,5,20,SP5_20,IMG_7279_2,H,33.417
SP5,5,20,SP5_20,IMG_7279_2,S,111.548
SP5,5,20,SP5_20,IMG_7279_2,B,98.168
SP5,5,20,SP5_20,IMG_7279_2,L,37.847
SP5,5,20,SP5_20,IMG_7279_2,a,-1.371
SP5,5,20,SP5_20,IMG_7279_2,b,18.895
SP5,5,18,SP5_18,IMG_7095,H,30.425
SP5,5,18,SP5_18,IMG_7095,S,125.525
SP5,5,18,SP5_18,IMG_7095,B,83.105
SP5,5,18,SP5_18,IMG_7095,L,30.884
SP5,5,18,SP5_18,IMG_7095,a,0.185
SP5,5,18,SP5_18,IMG_7095,b,17.47
SP5,5,18,SP5_18,IMG_7097,H,41.248
SP5,5,18,SP5_18,IMG_7097,S,105.264
SP5,5,18,SP5_18,IMG_7097,B,88.984
SP5,5,18,SP5_18,IMG_7097,L,35.285
SP5,5,18,SP5_18,IMG_7097,a,-4.815
SP5,5,18,SP5_18,IMG_7097,b,17.455
SP5,5,18,SP5_18,IMG_7099,H,28.71
SP5,5,18,SP5_18,IMG_7099,S,119.299
SP5,5,18,SP5_18,IMG_7099,B,91.499
SP5,5,18,SP5_18,IMG_7099,L,33.721
SP5,5,18,SP5_18,IMG_7099,a,1.158
SP5,5,18,SP5_18,IMG_7099,b,17.394
SP5,5,18,SP5_18,IMG_7101,H,26.838
SP5,5,18,SP5_18,IMG_7101,S,124.627
SP5,5,18,SP5_18,IMG_7101,B,103.796
SP5,5,18,SP5_18,IMG_7101,L,37.388
SP5,5,18,SP5_18,IMG_7101,a,3.099
SP5,5,18,SP5_18,IMG_7101,b,20.044
SP5,5,18,SP5_18,IMG_7103,H,29.651
SP5,5,18,SP5_18,IMG_7103,S,113.596
SP5,5,18,SP5_18,IMG_7103,B,98.898
SP5,5,18,SP5_18,IMG_7103,L,37.062
SP5,5,18,SP5_18,IMG_7103,a,0.578
SP5,5,18,SP5_18,IMG_7103,b,18.09
SP5,5,18,SP5_18,IMG_7105,H,23.964
SP5,5,18,SP5_18,IMG_7105,S,138.012
SP5,5,18,SP5_18,IMG_7105,B,87.782
SP5,5,18,SP5_18,IMG_7105,L,30.262
SP5,5,18,SP5_18,IMG_7105,a,4.641
SP5,5,18,SP5_18,IMG_7105,b,17.86
SP5,5,18,SP5_18,IMG_7113,H,29.124
SP5,5,18,SP5_18,IMG_7113,S,130.7
SP5,5,18,SP5_18,IMG_7113,B,83.307
SP5,5,18,SP5_18,IMG_7113,L,30.36
SP5,5,18,SP5_18,IMG_7113,a,1.301
SP5,5,18,SP5_18,IMG_7113,b,16.458
WK10,10,25,WK10_25,IMG_7203_1,H,28.562
WK10,10,25,WK10_25,IMG_7203_1,S,54.21
WK10,10,25,WK10_25,IMG_7203_1,B,136.017
WK10,10,25,WK10_25,IMG_7203_1,L,52.86
WK10,10,25,WK10_25,IMG_7203_1,a,1.041
WK10,10,25,WK10_25,IMG_7203_1,b,10.254
WK10,10,25,WK10_25,IMG_7203_2,H,28.94
WK10,10,25,WK10_25,IMG_7203_2,S,53.087
WK10,10,25,WK10_25,IMG_7203_2,B,129.296
WK10,10,25,WK10_25,IMG_7203_2,L,50.543
WK10,10,25,WK10_25,IMG_7203_2,a,1.085
WK10,10,25,WK10_25,IMG_7203_2,b,9.841
WK10,10,25,WK10_25,IMG_7205_1,H,30.311
WK10,10,25,WK10_25,IMG_7205_1,S,47.212
WK10,10,25,WK10_25,IMG_7205_1,B,138.759
WK10,10,25,WK10_25,IMG_7205_1,L,54.793
WK10,10,25,WK10_25,IMG_7205_1,a,-0.028
WK10,10,25,WK10_25,IMG_7205_1,b,10.15
WK10,10,25,WK10_25,IMG_7205_2,H,46.939
WK10,10,25,WK10_25,IMG_7205_2,S,39.103
WK10,10,25,WK10_25,IMG_7205_2,B,131.699
WK10,10,25,WK10_25,IMG_7205_2,L,53.294
WK10,10,25,WK10_25,IMG_7205_2,a,-3.271
WK10,10,25,WK10_25,IMG_7205_2,b,8.701
WK10,10,25,WK10_25,IMG_7208_1,H,61.316
WK10,10,25,WK10_25,IMG_7208_1,S,38.542
WK10,10,25,WK10_25,IMG_7208_1,B,109.535
WK10,10,25,WK10_25,IMG_7208_1,L,44.661
WK10,10,25,WK10_25,IMG_7208_1,a,-5.019
WK10,10,25,WK10_25,IMG_7208_1,b,7.093
WK10,10,25,WK10_25,IMG_7208_2,H,49.287
WK10,10,25,WK10_25,IMG_7208_2,S,61.967
WK10,10,25,WK10_25,IMG_7208_2,B,100.515
WK10,10,25,WK10_25,IMG_7208_2,L,40.101
WK10,10,25,WK10_25,IMG_7208_2,a,-3.647
WK10,10,25,WK10_25,IMG_7208_2,b,10.349
WK10,10,20,WK10_20,IMG_7282_1,H,26.276
WK10,10,20,WK10_20,IMG_7282_1,S,79.406
WK10,10,20,WK10_20,IMG_7282_1,B,119.136
WK10,10,20,WK10_20,IMG_7282_1,L,45.061
WK10,10,20,WK10_20,IMG_7282_1,a,1.966
WK10,10,20,WK10_20,IMG_7282_1,b,13.696
WK10,10,20,WK10_20,IMG_7282_2,H,45.671
WK10,10,20,WK10_20,IMG_7282_2,S,52.206
WK10,10,20,WK10_20,IMG_7282_2,B,106.216
WK10,10,20,WK10_20,IMG_7282_2,L,42.721
WK10,10,20,WK10_20,IMG_7282_2,a,-2.668
WK10,10,20,WK10_20,IMG_7282_2,b,9.229
WK10,10,20,WK10_20,IMG_7284_1,H,42.6
WK10,10,20,WK10_20,IMG_7284_1,S,48.812
WK10,10,20,WK10_20,IMG_7284_1,B,108.441
WK10,10,20,WK10_20,IMG_7284_1,L,43.792
WK10,10,20,WK10_20,IMG_7284_1,a,-2.043
WK10,10,20,WK10_20,IMG_7284_1,b,8.917
WK10,10,20,WK10_20,IMG_7284_2,H,24.523
WK10,10,20,WK10_20,IMG_7284_2,S,83.805
WK10,10,20,WK10_20,IMG_7284_2,B,138.127
WK10,10,20,WK10_20,IMG_7284_2,L,51.025
WK10,10,20,WK10_20,IMG_7284_2,a,3.921
WK10,10,20,WK10_20,IMG_7284_2,b,15.045
WK10,10,20,WK10_20,IMG_7288_1,H,46.183
WK10,10,20,WK10_20,IMG_7288_1,S,63.452
WK10,10,20,WK10_20,IMG_7288_1,B,95.96
WK10,10,20,WK10_20,IMG_7288_1,L,38.87
WK10,10,20,WK10_20,IMG_7288_1,a,-4.362
WK10,10,20,WK10_20,IMG_7288_1,b,11.124
WK10,10,20,WK10_20,IMG_7288_2,H,39.112
WK10,10,20,WK10_20,IMG_7288_2,S,52.663
WK10,10,20,WK10_20,IMG_7288_2,B,109.916
WK10,10,20,WK10_20,IMG_7288_2,L,44.125
WK10,10,20,WK10_20,IMG_7288_2,a,-1.772
WK10,10,20,WK10_20,IMG_7288_2,b,9.698
WK10,10,18,WK_10,IMG_7125,L,42.43
WK10,10,18,WK_10,IMG_7125,a,-2.341
WK10,10,18,WK_10,IMG_7125,b,10.49
WK10,10,18,WK_10,IMG_7125,H,38.582
WK10,10,18,WK_10,IMG_7125,S,55.955
WK10,10,18,WK_10,IMG_7125,B,105.03
WK10,10,18,WK_10,IMG_7127,L,38.649
WK10,10,18,WK_10,IMG_7127,a,-0.66
WK10,10,18,WK_10,IMG_7127,b,10.113
WK10,10,18,WK_10,IMG_7127,H,34.68
WK10,10,18,WK_10,IMG_7127,S,64.279
WK10,10,18,WK_10,IMG_7127,B,97.813
WK10,10,18,WK_10,IMG_7130,L,33.378
WK10,10,18,WK_10,IMG_7130,a,-4.315
WK10,10,18,WK_10,IMG_7130,b,10.155
WK10,10,18,WK_10,IMG_7130,H,47.418
WK10,10,18,WK_10,IMG_7130,S,69.426
WK10,10,18,WK_10,IMG_7130,B,83.157
WK10,10,18,WK_10,IMG_7132,L,44.63
WK10,10,18,WK_10,IMG_7132,a,-2.936
WK10,10,18,WK_10,IMG_7132,b,7.719
WK10,10,18,WK_10,IMG_7132,H,47.551
WK10,10,18,WK_10,IMG_7132,S,47.296
WK10,10,18,WK_10,IMG_7132,B,110.924
WK10,10,18,WK_10,IMG_7133,L,45.785
WK10,10,18,WK_10,IMG_7133,a,0.971
WK10,10,18,WK_10,IMG_7133,b,11.07
WK10,10,18,WK_10,IMG_7133,H,27.918
WK10,10,18,WK_10,IMG_7133,S,62.744
WK10,10,18,WK_10,IMG_7133,B,117.669
WK10,10,18,WK_10,IMG_7134,L,33.26
WK10,10,18,WK_10,IMG_7134,a,-4.084
WK10,10,18,WK_10,IMG_7134,b,9.064
WK10,10,18,WK_10,IMG_7134,H,48.771
WK10,10,18,WK_10,IMG_7134,S,63.496
WK10,10,18,WK_10,IMG_7134,B,82.966
WK10,10,18,WK_10,IMG_7135,L,43.293
WK10,10,18,WK_10,IMG_7135,a,-2.104
WK10,10,18,WK_10,IMG_7135,b,10.158
